Address Line 1,Address Line 2,City,Country,URL 1,URL 2,URL 3
Butali Sugar Mills Ltd,Kakamega,,Webuye,Kenya,http://www.advance-africa.com/Butali-Sugar-Mills-Jobs.html,https://www.facebook.com/pages/Butali-Sugar-Mills-Ltdkenya/195628810532187,https://www.facebook.com/pages/Butali-Sugar-Mills-Ltdkenya/195628810532187
Prime Bank Ltd,"L.R. 209/8571, Prime Bank Building Chiromo Lane / Riverside Driv",,Nairobi,Kenya,https://www.primebankonline.com/corp/AuthenticationController?__START_TRAN_FLAG__=Y&FORMSGROUP_ID__=AuthenticationFG&__EVENT_ID__=LOAD&FG_BUTTONS__=LOAD&ACTION.LOAD=Y&AuthenticationFG.LOGIN_FLAG=1&BANK_ID=PRBK,
Johnson Wax (East Africa) Ltd,Nyahera Road,Off Lunga Lunga Road,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/3973-chemraw-east-africa-limited-nairobi.aspx,https://www.ftaarea.com/company-details-135/1225754.html,http://www.businesslist.co.ke/company/86473/johnsons-wax-east-africa-ltd
Seed Trade Association Of Kenya,"Jumuia Place, 1St Floor, Wing B Lenana Road",,Nairobi,Kenya,http://www.businessadvocacy.org/dloads/STAK070206.pdf
Annum Trading Company Ltd,"Gilgil Road,",Off Enterprise Road,Nairobi,Kenya,http://www.businesslist.co.ke/company/20809/annum-trading-co-ltd,https://www.facebook.com/pages/ANNUM-TRADING-COMPANY-LTD-NAIROBI-KENYA/109487175746260
Medex East Africa Ltd,Maksons Plaza Parklands Road,,Nairobi,Kenya,http://www.yellowpageskenya.com/site/details/54147,http://www.yellowpageskenya.com/site/details/54147,https://softkenya.com/directory/medex-east-africa-ltd/
The Great Commission Foundation,Kisiara Street,,Kericho,Kenya,https://www.cru.org/content/dam/cru/about/gcf-financial-audit.pdf,http://www.crufoundation.org/about-us/introduction/,http://www.crufoundation.org/about-us/introduction/
Global Peace And Prosperity Initiative,Central Limuru,,Nairobi,Kenya,https://www.developmentaid.org/%23!/organizations/view/47839,http://prosperityandpeaceinitiative.org/,http://www.gloppi.org/
August Auto Agencies Limited,Kombo Munyiri Road,Gikomba,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/88307-august-auto-agencies-ltd-nairobi.aspx,https://www.kenyaplex.com/business-directory/88307-august-auto-agencies-ltd-nairobi.aspx,https://softkenya.com/directory/august-auto-agencies-ltd/
Okoa Community Project,Kiminini,,Kitale,Kenya,https://www.theokoaproject.com/,http://okoamtoto.wixsite.com/project/servicios2,https://www.ngoaidmap.org/projects/8645
